ticker,name,exchange,assetType
001296,SHE,US,STOCK
001298,SHE,US,STOCK
001299,SHE,US,STOCK
001300,SHE,US,STOCK
001301,SHE,US,STOCK
001306,SHE,US,STOCK
001308,SHE,US,STOCK
001309,SHE,US,STOCK
001311,SHE,US,STOCK
001313,SHE,US,STOCK
001314,SHE,US,STOCK
001316,SHE,US,STOCK
001317,SHE,US,STOCK
001318,SHE,US,STOCK
001319,SHE,US,STOCK
001322,SHE,US,STOCK
001323,SHE,US,STOCK
001324,SHE,US,STOCK
001326,SHE,US,STOCK
001328,SHE,US,STOCK
001330,SHE,US,STOCK
001331,SHE,US,STOCK
001332,SHE,US,STOCK
001333,SHE,US,STOCK
001336,SHE,US,STOCK
001337,SHE,US,STOCK
001338,SHE,US,STOCK
001339,SHE,US,STOCK
001358,SHE,US,STOCK
001360,SHE,US,STOCK
001366,SHE,US,STOCK
001367,SHE,US,STOCK
001368,SHE,US,STOCK
001373,SHE,US,STOCK
001376,SHE,US,STOCK
001378,SHE,US,STOCK
001379,SHE,US,STOCK
001380,SHE,US,STOCK
001387,SHE,US,STOCK
001696,SHE,US,STOCK
001872,SHE,US,STOCK
001896,SHE,US,STOCK
001914,SHE,US,STOCK
001965,SHE,US,STOCK
001979,SHE,US,STOCK
002001,SHE,US,STOCK
002002,SHE,US,STOCK
002003,SHE,US,STOCK
002004,SHE,US,STOCK
002005,SHE,US,STOCK
002006,SHE,US,STOCK
002007,SHE,US,STOCK
002008,SHE,US,STOCK
002009,SHE,US,STOCK
002010,SHE,US,STOCK
002011,SHE,US,STOCK
002012,SHE,US,STOCK
002013,SHE,US,STOCK
002014,SHE,US,STOCK
002015,SHE,US,STOCK
002016,SHE,US,STOCK
002017,SHE,US,STOCK
002018,SHE,US,STOCK
002019,SHE,US,STOCK
002020,SHE,US,STOCK
002021,SHE,US,STOCK
002022,SHE,US,STOCK
002023,SHE,US,STOCK
002024,SHE,US,STOCK
002025,SHE,US,STOCK
002026,SHE,US,STOCK
002027,SHE,US,STOCK
002028,SHE,US,STOCK
002029,SHE,US,STOCK
002030,SHE,US,STOCK
002031,SHE,US,STOCK
002032,SHE,US,STOCK
002033,SHE,US,STOCK
002034,SHE,US,STOCK
002035,SHE,US,STOCK
002036,SHE,US,STOCK
002037,SHE,US,STOCK
002038,SHE,US,STOCK
002039,SHE,US,STOCK
002040,SHE,US,STOCK
002041,SHE,US,STOCK
002042,SHE,US,STOCK
002043,SHE,US,STOCK
002044,SHE,US,STOCK
002045,SHE,US,STOCK
002046,SHE,US,STOCK
002047,SHE,US,STOCK
002048,SHE,US,STOCK
002049,SHE,US,STOCK
002050,SHE,US,STOCK
002051,SHE,US,STOCK
002052,SHE,US,STOCK
002053,SHE,US,STOCK
002054,SHE,US,STOCK
002055,SHE,US,STOCK
002056,SHE,US,STOCK
002057,SHE,US,STOCK
002058,SHE,US,STOCK
002059,SHE,US,STOCK
002060,SHE,US,STOCK
002061,SHE,US,STOCK
002062,SHE,US,STOCK
002063,SHE,US,STOCK
002064,SHE,US,STOCK
002065,SHE,US,STOCK
002066,SHE,US,STOCK
002067,SHE,US,STOCK
002068,SHE,US,STOCK
002069,SHE,US,STOCK
002070,SHE,US,STOCK
002071,SHE,US,STOCK
002072,SHE,US,STOCK
002073,SHE,US,STOCK
002074,SHE,US,STOCK
002075,SHE,US,STOCK
002076,SHE,US,STOCK
002077,SHE,US,STOCK
002078,SHE,US,STOCK
002079,SHE,US,STOCK
002080,SHE,US,STOCK
002081,SHE,US,STOCK
002082,SHE,US,STOCK
002083,SHE,US,STOCK
002084,SHE,US,STOCK
002085,SHE,US,STOCK
002086,SHE,US,STOCK
002087,SHE,US,STOCK
002088,SHE,US,STOCK
002089,SHE,US,STOCK
002090,SHE,US,STOCK
002091,SHE,US,STOCK
002092,SHE,US,STOCK
002093,SHE,US,STOCK
002094,SHE,US,STOCK
002095,SHE,US,STOCK
002096,SHE,US,STOCK
002097,SHE,US,STOCK
002098,SHE,US,STOCK
002099,SHE,US,STOCK
002100,SHE,US,STOCK
002101,SHE,US,STOCK
002102,SHE,US,STOCK
002103,SHE,US,STOCK
002104,SHE,US,STOCK
002105,SHE,US,STOCK
002106,SHE,US,STOCK
002107,SHE,US,STOCK
002108,SHE,US,STOCK
002109,SHE,US,STOCK
002110,SHE,US,STOCK
002111,SHE,US,STOCK
002112,SHE,US,STOCK
002113,SHE,US,STOCK
002114,SHE,US,STOCK
002115,SHE,US,STOCK
002116,SHE,US,STOCK
002117,SHE,US,STOCK
002118,SHE,US,STOCK
002119,SHE,US,STOCK
002120,SHE,US,STOCK
002121,SHE,US,STOCK
002122,SHE,US,STOCK
002123,SHE,US,STOCK
002124,SHE,US,STOCK
002125,SHE,US,STOCK
002126,SHE,US,STOCK
002127,SHE,US,STOCK
002128,SHE,US,STOCK
002129,SHE,US,STOCK
002130,SHE,US,STOCK
002131,SHE,US,STOCK
002132,SHE,US,STOCK
002133,SHE,US,STOCK
002134,SHE,US,STOCK
002135,SHE,US,STOCK
002136,SHE,US,STOCK
002137,SHE,US,STOCK
002138,SHE,US,STOCK
002139,SHE,US,STOCK
002140,SHE,US,STOCK
002141,SHE,US,STOCK
002142,SHE,US,STOCK
002143,SHE,US,STOCK
002144,SHE,US,STOCK
002145,SHE,US,STOCK
002146,SHE,US,STOCK
002147,SHE,US,STOCK
002148,SHE,US,STOCK
002149,SHE,US,STOCK
002150,SHE,US,STOCK
002151,SHE,US,STOCK
002152,SHE,US,STOCK
002153,SHE,US,STOCK
002154,SHE,US,STOCK
002155,SHE,US,STOCK
002156,SHE,US,STOCK
002157,SHE,US,STOCK
002158,SHE,US,STOCK
002159,SHE,US,STOCK
002160,SHE,US,STOCK
002161,SHE,US,STOCK
002162,SHE,US,STOCK
002163,SHE,US,STOCK
002164,SHE,US,STOCK
002165,SHE,US,STOCK
002166,SHE,US,STOCK
002167,SHE,US,STOCK
002168,SHE,US,STOCK
002169,SHE,US,STOCK
002170,SHE,US,STOCK
002171,SHE,US,STOCK
002172,SHE,US,STOCK
002173,SHE,US,STOCK
002174,SHE,US,STOCK
002175,SHE,US,STOCK
002176,SHE,US,STOCK
002177,SHE,US,STOCK
002178,SHE,US,STOCK
002179,SHE,US,STOCK
002180,SHE,US,STOCK
002181,SHE,US,STOCK
002182,SHE,US,STOCK
002183,SHE,US,STOCK
002184,SHE,US,STOCK
002185,SHE,US,STOCK
002186,SHE,US,STOCK
002187,SHE,US,STOCK
002188,SHE,US,STOCK
002189,SHE,US,STOCK
002190,SHE,US,STOCK
002191,SHE,US,STOCK
002192,SHE,US,STOCK
002193,SHE,US,STOCK
002194,SHE,US,STOCK
002195,SHE,US,STOCK
002196,SHE,US,STOCK
002197,SHE,US,STOCK
002198,SHE,US,STOCK
002199,SHE,US,STOCK
002200,SHE,US,STOCK
002201,SHE,US,STOCK
002202,SHE,US,STOCK
002203,SHE,US,STOCK
002204,SHE,US,STOCK
002205,SHE,US,STOCK
002206,SHE,US,STOCK
002207,SHE,US,STOCK
002208,SHE,US,STOCK
002209,SHE,US,STOCK
002210,SHE,US,STOCK
002211,SHE,US,STOCK
002212,SHE,US,STOCK
002213,SHE,US,STOCK
002214,SHE,US,STOCK
002215,SHE,US,STOCK
002216,SHE,US,STOCK
002217,SHE,US,STOCK
002218,SHE,US,STOCK
002219,SHE,US,STOCK
002220,SHE,US,STOCK
002221,SHE,US,STOCK
002222,SHE,US,STOCK
002223,SHE,US,STOCK
002224,SHE,US,STOCK
002225,SHE,US,STOCK
002226,SHE,US,STOCK
002227,SHE,US,STOCK
002228,SHE,US,STOCK
002229,SHE,US,STOCK
002230,SHE,US,STOCK
002231,SHE,US,STOCK
002232,SHE,US,STOCK
002233,SHE,US,STOCK
002234,SHE,US,STOCK
002235,SHE,US,STOCK
002236,SHE,US,STOCK
002237,SHE,US,STOCK
002238,SHE,US,STOCK
002239,SHE,US,STOCK
002240,SHE,US,STOCK
002241,SHE,US,STOCK
002242,SHE,US,STOCK
002243,SHE,US,STOCK
002244,SHE,US,STOCK
002245,SHE,US,STOCK
002246,SHE,US,STOCK
002247,SHE,US,STOCK
002248,SHE,US,STOCK
002249,SHE,US,STOCK
002250,SHE,US,STOCK
002251,SHE,US,STOCK
002252,SHE,US,STOCK
002253,SHE,US,STOCK
002254,SHE,US,STOCK
002255,SHE,US,STOCK
002256,SHE,US,STOCK
002257,SHE,US,STOCK
002258,SHE,US,STOCK
002259,SHE,US,STOCK
002260,SHE,US,STOCK
002261,SHE,US,STOCK
002262,SHE,US,STOCK
002263,SHE,US,STOCK
002264,SHE,US,STOCK
002265,SHE,US,STOCK
002266,SHE,US,STOCK
002267,SHE,US,STOCK
002268,SHE,US,STOCK
002269,SHE,US,STOCK
002270,SHE,US,STOCK
002271,SHE,US,STOCK
002272,SHE,US,STOCK
002273,SHE,US,STOCK
002274,SHE,US,STOCK
002275,SHE,US,STOCK
002276,SHE,US,STOCK
002277,SHE,US,STOCK
002278,SHE,US,STOCK
002279,SHE,US,STOCK
002280,SHE,US,STOCK
002281,SHE,US,STOCK
002282,SHE,US,STOCK
002283,SHE,US,STOCK
002284,SHE,US,STOCK
002285,SHE,US,STOCK
002286,SHE,US,STOCK
002287,SHE,US,STOCK
002288,SHE,US,STOCK
002289,SHE,US,STOCK
002290,SHE,US,STOCK
002291,SHE,US,STOCK
002292,SHE,US,STOCK
002293,SHE,US,STOCK
002294,SHE,US,STOCK
002295,SHE,US,STOCK
002296,SHE,US,STOCK
002297,SHE,US,STOCK
002298,SHE,US,STOCK
002299,SHE,US,STOCK
002300,SHE,US,STOCK
002301,SHE,US,STOCK
002302,SHE,US,STOCK
002303,SHE,US,STOCK
002304,SHE,US,STOCK
002305,SHE,US,STOCK
002306,SHE,US,STOCK
002307,SHE,US,STOCK
002308,SHE,US,STOCK
002309,SHE,US,STOCK
002310,SHE,US,STOCK
002311,SHE,US,STOCK
002312,SHE,US,STOCK
002313,SHE,US,STOCK
002314,SHE,US,STOCK
002315,SHE,US,STOCK
002316,SHE,US,STOCK
002317,SHE,US,STOCK
002318,SHE,US,STOCK
002319,SHE,US,STOCK
002320,SHE,US,STOCK
002321,SHE,US,STOCK
002322,SHE,US,STOCK
002323,SHE,US,STOCK
002324,SHE,US,STOCK
002325,SHE,US,STOCK
002326,SHE,US,STOCK
002327,SHE,US,STOCK
002328,SHE,US,STOCK
002329,SHE,US,STOCK
002330,SHE,US,STOCK
002331,SHE,US,STOCK
002332,SHE,US,STOCK
002333,SHE,US,STOCK
002334,SHE,US,STOCK
002335,SHE,US,STOCK
002336,SHE,US,STOCK
002337,SHE,US,STOCK
002338,SHE,US,STOCK
002339,SHE,US,STOCK
002340,SHE,US,STOCK
002341,SHE,US,STOCK
002342,SHE,US,STOCK
002343,SHE,US,STOCK
002344,SHE,US,STOCK
002345,SHE,US,STOCK
002346,SHE,US,STOCK
002347,SHE,US,STOCK
002348,SHE,US,STOCK
002349,SHE,US,STOCK
002350,SHE,US,STOCK
002351,SHE,US,STOCK
002352,SHE,US,STOCK
002353,SHE,US,STOCK
002354,SHE,US,STOCK
002355,SHE,US,STOCK
002356,SHE,US,STOCK
002357,SHE,US,STOCK
002358,SHE,US,STOCK
002359,SHE,US,STOCK
002360,SHE,US,STOCK
002361,SHE,US,STOCK
002362,SHE,US,STOCK
002363,SHE,US,STOCK
002364,SHE,US,STOCK
002365,SHE,US,STOCK
002366,SHE,US,STOCK
002367,SHE,US,STOCK
002368,SHE,US,STOCK
002369,SHE,US,STOCK
002370,SHE,US,STOCK
002371,SHE,US,STOCK
002372,SHE,US,STOCK
002373,SHE,US,STOCK
002374,SHE,US,STOCK
002375,SHE,US,STOCK
002376,SHE,US,STOCK
002377,SHE,US,STOCK
002378,SHE,US,STOCK
002379,SHE,US,STOCK
002380,SHE,US,STOCK
002381,SHE,US,STOCK
002382,SHE,US,STOCK
002383,SHE,US,STOCK
002384,SHE,US,STOCK
